"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","A1BG",18.3053873775889,-1.23554448991302,0.965682313911405,-1.27945233345795,0.200737814934789,0.762300200857208
"2","A1BG-AS1",4.86423716698728,2.49969599522363,2.02992138406504,1.23142502702141,0.218163941367904,0.77509862019153
"3","A1CF",92.7563612088648,0.237777409009712,1.31180880151686,0.181259196259979,0.856164132129863,0.992838797600056
"4","A2M",61.3734138427573,-2.46562703307344,1.36684324075309,-1.80388427843046,0.0712494500836868,0.563590443163084
"5","A2M-AS1",3.01327353441525,1.21617929932682,3.07039798730083,0.396098259690417,0.69203254210445,0.975629424404604
"6","A2ML1",219.066787412104,1.2252163972392,1.10608646029937,1.10770400074112,0.267989670997036,0.80413774916629
"7","A2MP1",82.6943187249404,-0.941683588655074,1.13624640814171,-0.828767054318054,0.407236234166746,0.897819005963748
"8","A3GALT2",1.61749348342109,-1.85651471417333,2.3232454843165,-0.799103980490257,0.424230121771234,0.904976738401574
"9","A4GALT",49.2410922267975,-0.429525128419951,0.54422268053219,-0.789245181769937,0.429968719295357,0.907732383829
"12","AAAS",216.571933693227,-0.159836758399326,0.473779456378028,-0.33736532103197,0.735841523651666,0.980303100874488
"13","AACS",343.10791792762,-0.658562398495314,0.612711948168804,-1.0748319833872,0.282449958271997,0.816436096654168
"14","AACSP1",8.52240181636229,1.45065438369151,1.38864445360836,1.04465500864675,0.296182445890149,0.82745726060232
"16","AADACL2",4.11796934777089,2.72123155572846,2.11096978800288,1.28909071612196,0.197366550735836,0.761009030149603
"21","AADAT",38.1413725207001,0.128060049465837,0.918885849436623,0.139364480957403,0.889162138501006,0.995602245962101
"22","AAGAB",143.054314712461,-0.41599751813722,0.656350068664576,-0.633804333994536,0.52620852441897,0.940171925313909
"23","AAK1",919.924243564452,0.388006993359327,0.34440001006687,1.1266172532457,0.259904341243602,0.801064074662613
"24","AAMDC",111.77540725837,-0.922734353729402,0.524424531159203,-1.75951790754289,0.0784895813477888,0.578388813795853
"25","AAMP",664.794518162873,-0.702244711731487,0.442984953910467,-1.58525635133292,0.1129081018695,0.650959768254443
"27","AAR2",251.097172052183,0.168231143004488,0.460732977522035,0.365138054387354,0.715008355796677,0.977439336010236
"29","AARS1",566.869147636503,-0.658980949790937,0.365142681593908,-1.80472177866027,0.0711182300524513,0.563053639622392
"30","AARS2",96.9133287647206,-0.272870917822633,0.666775191353101,-0.409239757809361,0.682363720204153,0.975021562936198
"32","AASDH",30.9543681563229,0.986487346937999,0.660269325952191,1.49406811457637,0.135157816917226,0.688347604962108
"33","AASDHPPT",54.8501316815967,-0.635995566367077,0.823621343083461,-0.772194129872893,0.439999457743754,0.912137953409909
"34","AASS",33.8892814700743,-0.637543721033733,0.585644188293334,-1.08861956419587,0.27632168567317,0.809593649054303
"35","AATBC",47.678506316224,0.321427714804332,1.36730282900874,0.235081583965827,0.814145412076495,0.991002640340201
"37","AATK",29.7493356854821,-2.016257294355,1.06699299535011,-1.88966310288983,0.0588030317822018,0.529143887597113
"38","ABALON",18.7878969972706,-0.530924380287927,0.985124976265057,-0.538941142575474,0.589927467302016,0.955735193129709
"39","ABAT",96.0694696016952,-0.429108644238572,0.583761862424688,-0.735074817077369,0.462293930263205,0.919998462915055
"40","ABCA1",2323.83487816204,0.664847427025292,0.349159438977616,1.90413705833659,0.056892336444006,0.520434579493444
"41","ABCA10",17.4372736980511,1.17449518931996,1.24432076397595,0.943884586131254,0.345228629529101,0.858615975955826
"42","ABCA11P",17.5840453136773,-0.483152958641168,1.07376477353916,-0.449961640153907,0.652738100332148,0.968498894248169
"43","ABCA12",713.09396850069,1.28723404226875,0.854790431301008,1.5059060035447,0.132091305178693,0.683490788426808
"44","ABCA13",2.70194179411492,-0.0461194560168452,1.78502062611229,-0.0258369317094625,0.979387404428873,0.999149777768434
"45","ABCA17P",3.60232649119574,4.99636760316845,1.87346619786155,2.66691099571025,0.00765519420824918,0.231007507397998
"46","ABCA2",889.965292354942,-0.574741208736602,0.79771251120514,-0.7204866423222,0.471225421151628,0.922732607863689
"47","ABCA3",210.27927587909,-0.375494172361075,0.735588456845015,-0.510467733509024,0.609723814388606,0.961651639849758
"48","ABCA4",8.17307633184364,0.549276563062385,1.90775369025434,0.287917966490294,0.773409533718942,0.984511884854042
"49","ABCA5",146.410310675448,1.21096336372614,0.4073576834464,2.97272744061417,0.00295166433421952,0.162928204585148
"50","ABCA6",12.0707347632273,1.83168485954073,1.35320472311761,1.35359035351337,0.175867106199252,0.741421713188166
"51","ABCA7",56.3250490785,0.454005990178314,0.637186260520341,0.712516917435668,0.476144739298098,0.924000466170526
"52","ABCA8",127.592014657917,1.16990881484823,0.569215029529774,2.05530204607332,0.03984983982876,0.452871517337839
"53","ABCA9",136.566712203391,1.05498426952114,0.437022753550192,2.41402595391403,0.0157773384643436,0.316151537615832
