Geneid	SRR16155214
NM_001011874	16
NM_001289467	0
NM_001289466	0
NM_001289464	0
NM_001289465	0
NM_011441	0
NR_033530	0
NM_025300	0
NM_001177658	4
NM_008866	0
NM_001355712	0
NM_001159750	0
NM_011541	0
NM_001159751	16
NM_001290372	0
NM_021374	0
NM_001177795	0
NM_001310442	0
NM_133826	0
NM_009826	932
NM_001244693	0
NM_001244692	0
NM_173868	0
NR_045189	0
NR_045188	0
NM_183028	310
NM_001290392	0
NM_001290393	0
NM_001290390	0
NM_027671	0
NM_021511	107
NM_001357378	0
NM_001357376	0
NM_175236	0
NM_001357377	16
NR_015470	5
NM_178399	0
NM_173443	824
NR_040462	2
NM_177547	0
NM_133220	0
NM_001037759	1
NR_024067	4
NR_004410	2
NM_001285425	14
NR_102282	0
NM_013715	0
NM_001277101	0
NM_026493	24
NM_001368816	15
NM_001102430	24
NM_001289497	0
NM_177834	0
NM_029525	341
NM_001033636	0
NM_001160370	0
NM_001160371	0
NM_001374633	0
NM_001310451	0
NM_001374634	0
NM_177173	0
NM_001160369	0
NM_001198566	0
NM_001198565	0
NM_172294	0
NM_172841	150
NM_001302702	53
NM_008678	96
NM_028173	743
NM_145381	8
NM_001011873	0
NM_001252192	0
NM_010164	0
NM_001310459	0
NM_010827	0
NM_001360810	5
NM_009352	0
NR_152944	0
NM_001286628	0
NM_001033288	17
NM_011291	3011
NM_133832	41
NM_001111272	0
NM_025303	0
NM_001347045	0
NM_001347044	0
NM_001271016	0
NM_025773	0
NR_073122	0
NM_001271017	0
NM_001310470	32
NM_026456	4
NM_026392	0
NM_027415	0
NM_016923	0
NM_001159711	0
NM_020604	10
NM_010267	8
NM_053191	513
NR_130314	8
NM_001356551	0
NM_031402	8
NM_001347047	2
NM_001347048	0
NR_002879	0
NR_151619	0
NM_153154	0
NM_001379074	0
NM_001379073	0
NM_009334	0
NM_001286340	0
NM_001025305	76
NM_153179	1203
NR_045734	5
NR_131249	2
NR_029902	0
NR_029593	0
NM_008563	128
NM_028829	0
NM_001355122	0
NM_027974	86
NM_177409	185
NM_029398	0
NM_001290679	0
NM_010356	0
NM_001077353	12
NM_001288617	0
NR_002858	11
NM_183322	12
NM_001033904	0
NM_001310477	0
NM_023872	0
NM_001160139	2
NM_001012625	0
NM_001012624	0
NM_001012623	0
NM_183018	0
NM_053270	0
NM_025746	86
NR_029533	4
NR_029717	92
NM_001081079	0
NM_001379083	0
NM_001379082	0
NM_172124	1
NR_110972	22
NM_028534	0
NM_001290683	0
NM_001357395	3
NM_026503	41
NM_026604	63
NM_026719	0
NM_001310483	6
NM_175642	11
NM_001204913	0
NR_151583	2
NM_001081080	0
NM_011200	2
NR_136907	3
NM_008922	132
NM_008999	15
NM_001159729	0
NM_145392	226
NM_001290699	0
NM_133817	0
NM_001359275	0
NM_001359274	0
NM_001290700	119
NM_001310484	0
NM_177235	6
NM_001276764	0
NM_134448	0
NM_133833	0
NR_105861	0
NM_010081	296
NR_165804	1
NR_039562	2
NM_027159	194
NM_178601	2
NM_011206	0
NM_009355	0
NM_001360855	0
NM_001368773	55
NM_183019	3
NM_174997	0
NM_001160235	0
NM_001160236	0
NM_145516	0
NM_175421	23
NM_001357425	1
NM_015818	64
NM_198899	84
NR_105862	1
NM_153408	0
NM_145996	0
NR_033310	0
NM_001290727	0
NM_001172205	0
NM_001172206	0
NM_001290726	0
NM_001310513	0
NM_172652	0
NR_105863	0
NM_001277076	20
NM_001310517	2
NM_001013374	0
NR_168706	14
NM_033570	85
NM_001331209	0
NM_053186	0
NM_001039551	11
NM_153502	12
NM_001310521	1
NM_026241	0
NM_001310533	0
NR_132321	9
NM_001304329	0
NM_001126047	0
NM_001304330	16
NM_027957	0
NM_001126046	0
NM_001372417	0
NM_001372416	2
NM_201365	10
NM_009942	0
NM_146107	477
NM_009539	0
NM_001289766	4
NM_001289765	3
NM_001289612	0
NM_018872	135
NM_001370829	0
NM_001370828	26
NM_001290797	0
NM_030266	0
NM_001374629	0
NM_001374630	0
NM_001290799	0
NM_001290798	0
NM_172971	0
NM_198006	0
NM_026123	0
NM_001356528	0
NM_001290801	0
NM_173870	0
NR_024017	64
NM_028096	94
NM_207228	3
NM_001290720	0
NM_001290721	0
NR_110976	3
NM_001377034	0
NM_001037918	5
NM_001377031	0
NM_001377032	0
NM_001377029	0
NM_001377030	0
NM_001377033	3
NM_001356262	0
NM_026913	0
NM_027098	0
NM_001356482	0
NM_172054	143
NM_198303	1979
NM_001359287	22
NM_019570	0
NM_001359288	0
NM_001290814	0
NM_001029878	42
NM_145142	0
NM_001368780	14
NM_026850	404
NM_008719	39
NM_001252218	0
NM_053257	0
NM_001252219	0
NM_018775	0
NM_001357521	10
NM_001357522	17
NM_028043	101
NM_001033135	215
NM_001252200	0
NM_001252202	0
NM_001252201	0
NM_008696	0
NR_037980	3
NM_001360801	0
NM_010555	0
NM_001360800	0
NM_008362	17
NM_001123382	0
NM_133193	0
NM_001356478	0
NM_001294171	2
NM_010743	0
NM_001025602	86
NM_001161842	0
NM_001161843	0
NM_008365	55
NM_010553	17
NR_168311	0
NR_168309	0
NR_168310	0
NM_177084	15
NM_001033289	40
NM_001081198	0
NR_027826	12
NR_168293	9
NR_168294	0
NR_168292	0
NM_008900	366
NR_027891	0
NR_110495	33
NM_023514	145
NM_053107	0
NM_001357299	0
NM_001013025	60
NM_133818	99
NM_010212	44
NM_001289533	4
NM_010879	247
NM_024283	0
NR_160750	0
NR_160751	0
NM_001368287	0
NR_160749	0
NM_001368289	8
NM_026430	0
NM_001368288	0
NM_001310540	0
NM_009418	5
NM_001013799	6
NM_001356297	0
NM_001356296	0
NM_029368	0
NM_023645	106
NM_001357046	0
NM_001357047	10
